ticker,sector
AFKS,Холдинги
AFLT,Транспорт
AGRO,Потребительский сектор
AKRN,Химия и удобрения
ALRS,Металлы и добыча
ASTR,IT
BANE,Нефть и газ
BANEP,Нефть и газ
BSPB,Банки и финансы
CBOM,Банки и финансы
CHMF,Металлы и добыча
CNRU,IT
DIXY,Ритейл
DOMRF,Банки и финансы
DSKY,Ритейл
ENPG,Металлы и добыча
EONR,Электроэнергетика
EPLN,Банки и финансы
FEES,Электроэнергетика
FIVE,Ритейл
FIXP,Ритейл
FLOT,Транспорт
GAZP,Нефть и газ
GCHE,Потребительский сектор
GLTR,Транспорт
GMKN,Металлы и добыча
HEAD,IT
HHRU,IT
HYDR,Электроэнергетика
IRAO,Электроэнергетика
KMAZ,Промышленность
LEAS,Банки и финансы
LKOH,Нефть и газ
LNTA,Ритейл
LSRG,Строительство
MAGN,Металлы и добыча
MAIL,IT
MDMG,Здравоохранение
MFON,Телеком
MGNT,Ритейл
MOEX,Банки и финансы
MRKH,Электроэнергетика
MSNG,Электроэнергетика
MSRS,Электроэнергетика
MSTT,Строительство
MTLR,Металлы и добыча
MTLRP,Металлы и добыча
MTSS,Телеком
MVID,Ритейл
NKNC,Химия и удобрения
NLMK,Металлы и добыча
NMTP,Транспорт
NVTK,Нефть и газ
OGKB,Электроэнергетика
OZON,IT
PGIL,Металлы и добыча
PHOR,Химия и удобрения
PHST,Здравоохранение
PIKK,Строительство
PLZL,Металлы и добыча
POGR,Металлы и добыча
POLY,Металлы и добыча
POSI,IT
QIWI,Банки и финансы
RASP,Металлы и добыча
RENI,Банки и финансы
RNFT,Нефть и газ
ROSN,Нефть и газ
RSTI,Электроэнергетика
RTKM,Телеком
RTKMP,Телеком
RUAL,Металлы и добыча
RUALR,Металлы и добыча
SBER,Банки и финансы
SBERP,Банки и финансы
SELG,Металлы и добыча
SFIN,Банки и финансы
SGZH,Промышленность
SMLT,Строительство
SNGS,Нефть и газ
SNGSP,Нефть и газ
SVAV,Промышленность
SVCB,Банки и финансы
T,Банки и финансы
TATN,Нефть и газ
TATNP,Нефть и газ
TCSG,Банки и финансы
TNBPP,Нефть и газ
TRMK,Металлы и добыча
TRNFP,Нефть и газ
UGLD,Металлы и добыча
UPRO,Электроэнергетика
URKA,Химия и удобрения
UWGN,Промышленность
VKCO,IT
VSMO,Металлы и добыча
VTBR,Банки и финансы
VZRZ,Банки и финансы
YDEX,IT
YNDX,IT
